37.44,-108.02,3287.00,2.60
37.50,-104.16,1716.00,0.00
39.12,-104.87,2226.00,0.00
39.87,-105.24,1887.00,0.00
40.39,-106.60,2792.00,0.00
40.21,-105.57,2621.00,2.60
39.49,-106.17,3200.00,0.00
38.42,-108.38,2865.00,0.00
40.17,-107.06,2774.00,0.00
37.65,-107.81,2707.00,0.00
38.70,-106.35,3213.00,0.00
37.21,-105.20,3200.00,0.00
37.02,-106.45,3054.00,2.50
37.43,-104.16,1668.00,0.00
38.16,-106.60,3054.00,0.00
40.81,-105.77,3115.00,0.00
38.72,-103.89,1597.00,0.00
38.92,-104.88,2154.00,0.00
38.90,-104.84,1910.00,0.00
37.47,-108.54,2146.00,0.10
39.65,-103.93,1570.00,0.00
39.66,-105.59,3231.00,2.60
37.79,-108.02,3109.00,0.00
39.65,-104.85,1706.00,0.00
40.85,-106.97,2652.00,0.00
39.86,-106.42,3206.00,7.70
38.91,-104.90,2214.00,0.00
39.81,-104.79,1619.00,0.00
38.46,-104.79,1761.00,0.00
38.80,-104.80,1787.00,0.00
39.38,-106.20,3475.00,0.00
38.73,-104.73,1726.00,0.00
37.68,-106.86,2742.00,0.00
38.19,-105.48,2346.00,0.00
38.88,-105.07,3493.00,0.00
40.71,-105.41,2296.00,0.00
37.76,-105.63,2348.00,0.00
37.79,-108.29,2670.00,6.40
37.38,-103.96,1561.00,0.00
37.47,-106.54,3542.00,2.50
39.65,-105.87,3383.00,0.00
39.25,-106.62,3082.00,5.10
37.62,-103.69,1434.00,0.00
39.67,-104.95,1644.00,0.00
37.73,-105.35,2575.00,0.00
37.55,-103.99,1677.00,0.00
39.36,-106.06,3475.00,2.60
38.27,-105.85,3267.00,2.50
40.57,-105.62,2859.00,0.00
39.08,-106.61,3231.00,0.00
37.93,-107.68,2987.00,0.00
39.29,-106.55,3170.00,0.00
39.76,-105.91,3170.00,0.00
40.98,-102.25,1052.00,0.00
39.57,-105.80,3341.00,10.10
40.53,-105.89,3085.00,0.00
39.32,-106.61,2926.00,5.00
38.22,-106.09,2683.00,0.00
39.77,-105.64,2670.00,2.24
39.67,-105.90,3475.00,2.60
37.32,-108.06,2585.00,2.30
39.94,-105.59,2957.00,0.00
37.80,-107.92,3109.00,7.60
37.21,-106.19,2470.00,0.00
40.41,-105.82,3261.00,0.00
37.89,-108.20,2926.00,2.50
40.82,-106.75,2841.00,0.00
37.38,-106.55,3353.00,0.00
40.51,-105.77,3042.00,0.00
38.88,-104.93,2139.00,0.00
40.08,-106.67,2707.00,2.60
38.84,-104.83,1829.00,0.00
